@RELATION P1Mario-data-training-T3Original

@ATTRIBUTE MergedObs[7][9] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[8][9] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[8][10] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[9][10] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[9][11] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[10][9] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[10][10] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE distanceEnemy NUMERIC
@ATTRIBUTE distanceCoin NUMERIC
@ATTRIBUTE isOnGround {Ground, Air}
@ATTRIBUTE isDanger {Enemy, NoEnemy}
@ATTRIBUTE isEnemyBelow {Enemy, NoEnemy}
@ATTRIBUTE isCoin {Coin, NoCoin}
@ATTRIBUTE action {move, jump, move_jump, still}
@ATTRIBUTE reward NUMERIC
@ATTRIBUTE futureReward NUMERIC

@data
0,0,0,0,0,-24,80,141,900,Ground,Enemy,NoEnemy,NoCoin,move,1161,1267
0,0,0,0,0,-24,80,141,900,Ground,Enemy,NoEnemy,NoCoin,move,1161,1267
0,0,0,0,-60,80,0,100,900,Ground,NoEnemy,Enemy,NoCoin,move,1161,1267
0,0,0,0,-60,-60,-60,905,565,Air,NoEnemy,NoEnemy,NoCoin,move_jump,1171,1267
0,0,0,-60,-60,0,-60,824,424,Air,NoEnemy,NoEnemy,NoCoin,move_jump,1171,1267
0,0,2,2,2,80,-24,0,905,Air,NoEnemy,Enemy,Coin,move_jump,1267,1351
0,0,0,0,0,-24,80,100,1414,Air,Enemy,NoEnemy,NoCoin,move_jump,1341,1309
0,0,2,2,2,-24,0,707,707,Ground,NoEnemy,NoEnemy,Coin,move,1319,1447
0,0,2,2,2,-24,0,707,707,Ground,NoEnemy,NoEnemy,Coin,move,1319,1463
0,0,2,2,2,-24,0,707,707,Ground,NoEnemy,NoEnemy,Coin,move,1319,1463
2,0,2,-24,0,-60,-60,600,800,Air,NoEnemy,NoEnemy,NoCoin,move_jump,1335,1463
0,0,0,80,0,-60,-60,100,1414,Ground,Enemy,NoEnemy,NoCoin,move_jump,1463,1463
0,0,0,0,0,80,0,100,824,Ground,NoEnemy,Enemy,NoCoin,move,1463,1489
0,0,0,0,0,-60,-60,538,854,Air,NoEnemy,NoEnemy,NoCoin,move_jump,1473,1505
0,0,0,0,-60,0,0,412,860,Air,NoEnemy,NoEnemy,NoCoin,move_jump,1473,1505
0,0,0,0,0,80,0,100,984,Air,NoEnemy,Enemy,NoCoin,move_jump,1473,1569
0,0,2,2,2,-24,-24,824,412,Ground,NoEnemy,NoEnemy,Coin,move,1473,1569
0,0,2,2,2,-24,-24,921,412,Ground,NoEnemy,NoEnemy,Coin,move,1473,1569
0,2,2,2,2,-24,-24,824,400,Ground,NoEnemy,NoEnemy,Coin,move,1489,1569
-24,2,2,0,0,-24,-24,538,100,Ground,NoEnemy,NoEnemy,NoCoin,move,1569,1569
0,0,0,80,80,-60,-60,100,1414,Air,Enemy,NoEnemy,NoCoin,move_jump,1569,1569
0,0,0,0,0,80,80,100,1414,Air,Enemy,Enemy,NoCoin,move_jump,1569,1569
0,0,0,0,0,0,0,200,1414,Air,NoEnemy,NoEnemy,NoCoin,move_jump,1569,1569
0,0,0,0,0,0,0,300,1414,Air,NoEnemy,NoEnemy,NoCoin,move_jump,1569,1569
0,0,0,0,0,0,80,141,1414,Air,Enemy,NoEnemy,NoCoin,move_jump,1569,1589
0,0,0,80,0,-60,-60,100,1414,Air,Enemy,NoEnemy,NoCoin,move_jump,1569,1589
0,0,0,0,0,80,0,100,1414,Air,NoEnemy,Enemy,NoCoin,move_jump,1579,1589
0,0,0,0,0,0,0,1414,1414,Air,NoEnemy,NoEnemy,NoCoin,move_jump,-1,-1
0,0,0,0,0,0,80,223,721,Ground,Enemy,NoEnemy,NoCoin,move,-1,105
0,0,2,2,2,-24,-24,412,900,Ground,NoEnemy,NoEnemy,Coin,move,9,121
0,0,0,2,2,80,2,100,806,Air,NoEnemy,Enemy,Coin,move_jump,105,163
0,0,0,0,0,0,0,200,707,Air,NoEnemy,NoEnemy,NoCoin,move_jump,121,163
0,0,0,0,0,0,0,300,608,Air,NoEnemy,NoEnemy,NoCoin,move_jump,121,163
0,0,0,0,0,-24,80,141,806,Air,Enemy,NoEnemy,NoCoin,move_jump,153,211
0,0,0,0,0,80,0,100,860,Ground,NoEnemy,Enemy,NoCoin,move,153,211
0,0,2,2,80,-24,-24,200,707,Ground,NoEnemy,NoEnemy,Coin,move,163,221
0,0,2,2,80,-24,-24,200,707,Ground,NoEnemy,NoEnemy,Coin,move_jump,195,221
0,0,0,0,0,0,0,316,500,Air,NoEnemy,NoEnemy,NoCoin,move_jump,211,221
0,0,0,0,0,80,0,100,700,Air,NoEnemy,Enemy,NoCoin,move_jump,211,221
0,0,2,2,2,-24,0,854,905,Ground,NoEnemy,NoEnemy,Coin,move,221,317
0,0,0,0,2,-24,0,854,921,Ground,NoEnemy,NoEnemy,NoCoin,move,253,317
0,0,2,2,2,0,-24,761,905,Ground,NoEnemy,NoEnemy,Coin,move,253,317
0,0,2,-24,-24,-60,-60,728,608,Air,NoEnemy,NoEnemy,NoCoin,move_jump,253,349
0,0,0,0,2,80,-24,100,538,Air,NoEnemy,Enemy,NoCoin,move_jump,349,455
0,0,2,2,2,-24,-24,316,509,Ground,NoEnemy,NoEnemy,Coin,move,349,455
0,0,2,2,2,-24,-24,316,509,Ground,NoEnemy,NoEnemy,Coin,move,349,455
0,0,0,0,2,-24,-24,316,538,Ground,NoEnemy,NoEnemy,NoCoin,move,381,455
0,0,0,0,0,0,80,141,640,Ground,Enemy,NoEnemy,NoCoin,move,445,455
0,0,0,80,-60,-60,-60,100,721,Air,Enemy,NoEnemy,NoCoin,move_jump,445,455
0,0,0,80,-60,-60,-60,100,721,Air,Enemy,NoEnemy,NoCoin,move_jump,445,455
0,0,0,0,0,80,0,500,1414,Air,NoEnemy,Enemy,NoCoin,move_jump,545,503
0,0,0,0,0,0,0,300,1414,Air,NoEnemy,NoEnemy,NoCoin,move_jump,545,503
0,0,0,0,0,0,0,200,1414,Air,NoEnemy,NoEnemy,NoCoin,move_jump,545,503
0,0,2,2,0,-24,0,500,608,Ground,NoEnemy,NoEnemy,Coin,move,567,599
0,0,0,0,0,0,80,141,1414,Air,Enemy,NoEnemy,NoCoin,move_jump,705,715
0,0,0,0,0,80,0,100,1081,Air,NoEnemy,Enemy,NoCoin,move_jump,715,715
0,0,0,0,0,0,0,200,1000,Air,NoEnemy,NoEnemy,NoCoin,move_jump,715,715
0,0,0,0,0,0,0,300,860,Air,NoEnemy,NoEnemy,NoCoin,move_jump,715,715
0,0,-60,-60,-60,80,-60,100,1000,Air,NoEnemy,Enemy,NoCoin,move_jump,715,715
0,0,0,0,0,-60,80,141,728,Ground,Enemy,NoEnemy,NoCoin,move,715,773
0,0,2,2,2,-24,-24,583,700,Ground,NoEnemy,NoEnemy,Coin,move,741,805
0,0,2,2,2,-24,-24,583,700,Ground,NoEnemy,NoEnemy,Coin,move,741,805
0,0,2,2,2,-24,-24,583,700,Ground,NoEnemy,NoEnemy,Coin,move,741,805
0,0,0,0,2,-24,-24,583,700,Ground,NoEnemy,NoEnemy,NoCoin,move,773,805
0,0,0,0,0,0,0,1414,1414,Air,NoEnemy,NoEnemy,NoCoin,move_jump,-1,-1
0,0,0,80,0,-60,-60,100,1063,Air,Enemy,NoEnemy,NoCoin,move_jump,-1,51
0,0,0,2,2,0,2,200,707,Ground,NoEnemy,NoEnemy,Coin,move,9,179
0,0,2,2,2,80,-24,100,806,Air,NoEnemy,Enemy,Coin,move_jump,9,179
0,0,2,-24,-24,-60,-60,0,905,Air,NoEnemy,NoEnemy,NoCoin,move_jump,9,179
0,0,0,-24,-24,-60,-60,800,921,Air,NoEnemy,NoEnemy,NoCoin,move_jump,51,179
0,0,2,2,0,-24,-24,316,900,Ground,NoEnemy,NoEnemy,Coin,move,147,169
0,0,0,80,0,-60,-60,100,583,Air,Enemy,NoEnemy,NoCoin,move_jump,179,201
0,0,0,2,2,80,2,100,905,Air,NoEnemy,Enemy,Coin,move_jump,137,201
0,0,0,0,0,0,2,200,806,Air,NoEnemy,NoEnemy,NoCoin,move_jump,137,201
0,0,0,0,-24,0,0,300,707,Air,NoEnemy,NoEnemy,NoCoin,move_jump,137,201
0,0,2,2,2,-24,-24,707,707,Ground,NoEnemy,NoEnemy,Coin,move,201,339
0,0,0,0,0,-24,80,141,700,Ground,Enemy,NoEnemy,NoCoin,move,329,403
0,0,0,2,2,80,2,100,316,Air,NoEnemy,Enemy,Coin,move_jump,499,579
0,0,0,0,-24,0,2,0,223,Air,NoEnemy,NoEnemy,NoCoin,move_jump,499,579
0,0,0,0,0,0,0,100,141,Air,NoEnemy,NoEnemy,NoCoin,move_jump,499,579
-60,0,0,0,-60,80,-60,200,860,Air,NoEnemy,Enemy,NoCoin,move_jump,595,605
0,0,0,0,0,0,0,1131,1414,Air,NoEnemy,NoEnemy,NoCoin,move_jump,-1,-1
0,0,80,0,-60,-60,-60,141,1414,Air,NoEnemy,Enemy,NoCoin,move_jump,-1,-43
0,0,0,80,0,0,0,100,1414,Air,Enemy,NoEnemy,NoCoin,move_jump,-33,-75
0,2,2,2,2,-24,0,608,500,Ground,NoEnemy,NoEnemy,Coin,move,19,141
0,2,2,2,2,-24,0,509,500,Ground,NoEnemy,NoEnemy,Coin,move,19,141
0,2,2,0,2,-24,0,509,500,Ground,NoEnemy,NoEnemy,NoCoin,move,35,141
0,2,2,2,2,0,0,412,500,Ground,NoEnemy,NoEnemy,Coin,move,35,141
0,0,0,0,-24,0,80,100,583,Ground,Enemy,NoEnemy,NoCoin,move,131,189
0,0,-60,-60,-60,80,-60,100,1414,Air,NoEnemy,Enemy,NoCoin,move_jump,215,215
0,0,0,-60,-60,0,-60,200,1272,Air,NoEnemy,NoEnemy,NoCoin,move_jump,215,215
0,0,0,-60,-60,0,-60,200,1272,Air,NoEnemy,NoEnemy,NoCoin,move_jump,215,215
0,0,0,0,0,80,0,100,1081,Air,NoEnemy,Enemy,NoCoin,move_jump,279,321
-24,-62,-62,80,0,-60,-60,100,400,Ground,Enemy,NoEnemy,NoCoin,move,279,321
0,0,2,2,2,0,0,721,800,Ground,NoEnemy,NoEnemy,Coin,move,395,475
0,0,2,0,0,-60,-60,670,900,Air,NoEnemy,NoEnemy,NoCoin,move_jump,395,485
0,0,0,0,0,-60,-60,670,900,Ground,NoEnemy,NoEnemy,NoCoin,move,411,485
0,0,-85,-85,-85,80,-85,100,948,Air,NoEnemy,Enemy,NoCoin,move_jump,475,485
0,0,2,2,2,-24,80,100,141,Air,Enemy,NoEnemy,Coin,move_jump,485,569
0,0,2,2,2,-24,80,100,141,Ground,Enemy,NoEnemy,Coin,move,485,569
2,0,2,-24,-24,-60,-60,412,200,Air,NoEnemy,NoEnemy,NoCoin,move_jump,511,569
0,0,0,0,0,0,0,412,1414,Air,NoEnemy,NoEnemy,NoCoin,move_jump,559,569
0,0,0,0,0,80,80,100,1414,Air,Enemy,Enemy,NoCoin,move_jump,559,569
0,0,2,2,2,-24,0,700,141,Ground,NoEnemy,NoEnemy,Coin,move,569,697
0,2,2,2,2,0,-24,608,100,Ground,NoEnemy,NoEnemy,Coin,move,585,697
2,0,2,-24,-24,-60,-60,600,200,Air,NoEnemy,NoEnemy,NoCoin,move_jump,585,697
0,0,0,0,-60,0,80,141,1414,Ground,Enemy,NoEnemy,NoCoin,move,697,707
0,0,0,80,-60,-60,-60,223,1414,Air,Enemy,NoEnemy,NoCoin,move_jump,697,707
0,0,0,0,0,80,0,100,1414,Air,NoEnemy,Enemy,NoCoin,move_jump,707,707
0,0,2,2,2,0,-24,583,905,Ground,NoEnemy,NoEnemy,Coin,move,771,867
0,0,2,-24,-24,-60,-60,538,223,Air,NoEnemy,NoEnemy,NoCoin,move_jump,771,867
0,0,0,-24,-24,-60,-60,538,223,Ground,NoEnemy,NoEnemy,NoCoin,move,787,867
0,0,0,0,2,80,0,100,223,Air,NoEnemy,Enemy,NoCoin,move_jump,867,941
-60,0,2,2,0,-24,-24,424,141,Ground,NoEnemy,NoEnemy,Coin,move,915,941
-60,0,2,2,0,-24,-24,360,141,Ground,NoEnemy,NoEnemy,Coin,move,915,941
-60,0,2,2,0,-24,-24,360,141,Ground,NoEnemy,NoEnemy,Coin,move,915,941
-60,0,2,0,0,-24,-24,360,141,Ground,NoEnemy,NoEnemy,NoCoin,move,931,941
0,0,0,0,0,-24,80,223,1414,Ground,Enemy,NoEnemy,NoCoin,move,931,941
0,0,0,0,0,-24,80,223,1414,Ground,Enemy,NoEnemy,NoCoin,move,931,941
0,0,0,0,0,0,0,1414,1414,Air,NoEnemy,NoEnemy,NoCoin,move_jump,-1,-1
0,0,0,0,2,80,-24,100,707,Air,NoEnemy,Enemy,NoCoin,move_jump,-1,127
0,0,2,2,2,-24,-24,905,700,Ground,NoEnemy,NoEnemy,Coin,move,-1,127
0,0,2,2,2,-24,-24,905,700,Ground,NoEnemy,NoEnemy,Coin,move,-1,127
0,0,0,0,2,-24,-24,1414,700,Ground,NoEnemy,NoEnemy,NoCoin,move,31,127
0,0,2,2,2,-24,-24,905,700,Ground,NoEnemy,NoEnemy,Coin,move,31,127
0,0,0,-62,0,0,80,141,1414,Air,Enemy,NoEnemy,NoCoin,move_jump,127,137
0,0,-62,80,0,0,-60,100,1414,Air,Enemy,NoEnemy,NoCoin,move_jump,127,137
0,0,0,0,0,0,0,1414,1414,Air,NoEnemy,NoEnemy,NoCoin,move_jump,-1,-1
0,0,2,2,2,-24,-24,412,500,Ground,NoEnemy,NoEnemy,Coin,move,31,105
0,0,0,0,-60,0,80,141,1414,Ground,Enemy,NoEnemy,NoCoin,move,95,105
0,0,0,0,0,80,0,400,1414,Air,NoEnemy,Enemy,NoCoin,move_jump,115,115
0,0,0,0,0,0,0,282,1204,Air,NoEnemy,NoEnemy,NoCoin,move_jump,115,115
0,0,0,0,0,0,0,282,1204,Air,NoEnemy,NoEnemy,NoCoin,move_jump,115,115
0,0,0,80,0,-60,-60,100,1414,Air,Enemy,NoEnemy,NoCoin,move_jump,115,125
0,0,0,0,0,80,0,0,894,Air,NoEnemy,Enemy,NoCoin,move_jump,199,225
-24,0,2,2,2,-24,-24,608,806,Ground,NoEnemy,NoEnemy,Coin,move,251,411
-24,0,2,2,2,-24,-24,608,806,Ground,NoEnemy,NoEnemy,Coin,move,251,411
-24,0,2,2,2,-24,-24,608,806,Ground,NoEnemy,NoEnemy,Coin,move,251,411
-24,0,0,0,2,-24,-24,608,806,Ground,NoEnemy,NoEnemy,NoCoin,move,283,411
0,0,0,0,0,-24,80,141,900,Ground,Enemy,NoEnemy,NoCoin,move,603,613
0,0,0,0,0,80,0,100,1000,Air,NoEnemy,Enemy,NoCoin,move_jump,613,645
0,0,0,0,0,0,0,1414,943,Air,NoEnemy,NoEnemy,NoCoin,move_jump,613,677
0,0,0,0,0,-60,-60,1414,1029,Air,NoEnemy,NoEnemy,NoCoin,move_jump,613,677
0,0,0,0,0,80,0,100,1414,Air,NoEnemy,Enemy,NoCoin,move_jump,709,719
0,0,0,0,0,-60,80,141,1414,Ground,Enemy,NoEnemy,NoCoin,move,739,749
0,0,2,2,2,-24,-24,1414,608,Ground,NoEnemy,NoEnemy,Coin,move,759,887
0,0,2,2,2,-24,-24,1414,608,Ground,NoEnemy,NoEnemy,Coin,move,759,887
0,0,2,2,2,-24,-24,1414,608,Ground,NoEnemy,NoEnemy,Coin,move,759,887
0,0,0,0,2,-24,-24,1414,632,Ground,NoEnemy,NoEnemy,NoCoin,move,791,919
0,0,0,0,0,-60,80,141,854,Air,Enemy,NoEnemy,NoCoin,move_jump,951,1099
0,0,0,0,0,80,-85,100,1414,Air,NoEnemy,Enemy,NoCoin,move_jump,1099,1099
0,0,0,0,0,-85,-85,1414,1414,Ground,NoEnemy,NoEnemy,NoCoin,move,1099,1099
0,0,0,0,0,-85,-85,1414,1414,Ground,NoEnemy,NoEnemy,NoCoin,move,1099,1099
0,0,0,0,-60,80,0,100,670,Air,NoEnemy,Enemy,NoCoin,move_jump,1099,1189
0,0,2,2,2,-24,-24,412,905,Ground,NoEnemy,NoEnemy,Coin,move,1125,1147
-24,0,0,2,2,-24,-24,412,900,Ground,NoEnemy,NoEnemy,Coin,move,1125,1147
-24,0,2,0,2,-24,-24,412,900,Ground,NoEnemy,NoEnemy,Coin,move,1125,1147
-24,0,0,0,2,-24,-24,412,900,Ground,NoEnemy,NoEnemy,NoCoin,move,1157,1147
0,0,0,0,0,0,80,141,900,Ground,Enemy,NoEnemy,NoCoin,move,1189,1147
0,0,0,0,0,0,80,141,900,Air,Enemy,NoEnemy,NoCoin,move_jump,1189,1147
0,0,0,0,0,80,-60,100,1414,Air,NoEnemy,Enemy,NoCoin,move_jump,1147,1147
0,0,0,0,0,0,0,200,1414,Air,NoEnemy,NoEnemy,NoCoin,move_jump,1147,1147
0,0,0,0,0,0,0,300,1414,Air,NoEnemy,NoEnemy,NoCoin,move_jump,1147,1147
0,0,0,80,0,-60,-60,100,1414,Air,Enemy,NoEnemy,NoCoin,move_jump,1147,1147
0,0,0,0,0,80,0,100,1414,Air,NoEnemy,Enemy,NoCoin,move_jump,1147,1147
0,0,2,2,2,80,-24,0,141,Ground,NoEnemy,Enemy,Coin,move,1147,1295
0,0,2,-24,80,-60,-60,223,223,Air,NoEnemy,NoEnemy,NoCoin,move_jump,1157,1295
0,0,2,0,2,0,-24,223,141,Air,NoEnemy,NoEnemy,NoCoin,move_jump,1173,1295
0,0,2,2,2,80,-24,100,141,Air,NoEnemy,Enemy,Coin,move_jump,1253,1337
0,0,0,0,0,0,80,141,824,Ground,Enemy,NoEnemy,NoCoin,move,1337,1379
0,0,0,0,0,0,0,1414,1414,Air,NoEnemy,NoEnemy,NoCoin,move_jump,-1,-1
0,0,2,2,2,-24,-24,894,800,Ground,NoEnemy,NoEnemy,Coin,move,31,191
0,0,0,0,0,0,80,223,1414,Air,Enemy,NoEnemy,NoCoin,move_jump,191,211
0,0,0,0,0,80,0,0,1414,Ground,NoEnemy,Enemy,NoCoin,move,307,317
0,0,0,0,0,-60,-60,806,1414,Air,NoEnemy,NoEnemy,NoCoin,move_jump,317,317
0,0,0,0,0,0,0,800,1414,Air,NoEnemy,NoEnemy,NoCoin,move_jump,317,317
0,0,0,80,-24,-60,-60,100,948,Ground,Enemy,NoEnemy,NoCoin,move,317,355
0,0,0,0,2,80,-24,100,824,Air,NoEnemy,Enemy,NoCoin,move_jump,275,355
0,0,2,2,2,-24,-24,412,500,Ground,NoEnemy,NoEnemy,Coin,move,387,477
0,0,2,2,2,-24,-24,412,500,Ground,NoEnemy,NoEnemy,Coin,move,387,477
0,0,2,2,2,-24,-24,412,500,Ground,NoEnemy,NoEnemy,Coin,move,387,477
0,0,2,0,2,-24,-24,412,500,Ground,NoEnemy,NoEnemy,NoCoin,move,403,477
0,2,2,2,0,-24,80,608,500,Ground,Enemy,NoEnemy,Coin,move,435,477
0,2,0,0,0,80,-24,500,800,Ground,NoEnemy,Enemy,NoCoin,move,451,477
2,0,0,-24,-62,-60,-60,500,900,Air,NoEnemy,NoEnemy,NoCoin,move_jump,461,477
0,0,0,0,0,80,-24,300,800,Air,NoEnemy,Enemy,NoCoin,move_jump,477,477
0,0,0,0,0,0,80,223,900,Air,Enemy,NoEnemy,NoCoin,move_jump,477,497
0,0,0,0,0,80,-24,100,1414,Ground,NoEnemy,Enemy,NoCoin,move,497,507
0,0,2,2,0,0,0,500,600,Ground,NoEnemy,NoEnemy,Coin,move,611,659
0,0,2,0,0,-60,-60,447,700,Air,NoEnemy,NoEnemy,NoCoin,move_jump,611,675
0,0,0,0,0,-60,-60,447,700,Ground,NoEnemy,NoEnemy,NoCoin,move,627,675
0,0,0,0,2,80,-24,100,728,Air,NoEnemy,Enemy,NoCoin,move_jump,627,723
0,0,2,2,2,-24,0,608,707,Ground,NoEnemy,NoEnemy,Coin,move,627,755
0,0,2,2,2,-24,0,608,707,Ground,NoEnemy,NoEnemy,Coin,move,627,755
0,0,2,0,2,-24,0,608,707,Ground,NoEnemy,NoEnemy,NoCoin,move,643,755
0,2,2,2,2,0,-24,509,700,Ground,NoEnemy,NoEnemy,Coin,move,643,755
0,0,0,0,0,-24,80,141,1414,Ground,Enemy,NoEnemy,NoCoin,move,755,775
0,0,0,0,0,-24,80,141,1414,Ground,Enemy,NoEnemy,NoCoin,move,755,775
0,0,0,0,-85,80,0,100,1414,Air,NoEnemy,Enemy,NoCoin,move_jump,765,775
0,0,0,0,-85,-60,-60,1414,1414,Air,NoEnemy,NoEnemy,NoCoin,move_jump,775,775
0,0,0,0,-85,0,0,905,1414,Air,NoEnemy,NoEnemy,NoCoin,move_jump,775,775
0,0,0,80,0,-60,-60,100,800,Air,Enemy,NoEnemy,NoCoin,move_jump,775,775
0,0,0,0,-60,80,0,100,1414,Ground,NoEnemy,Enemy,NoCoin,move,791,811
0,0,0,0,0,0,0,1414,1414,Air,NoEnemy,NoEnemy,NoCoin,move_jump,-1,-1
0,0,0,0,0,-60,80,141,824,Ground,Enemy,NoEnemy,NoCoin,move,-1,41
0,0,0,0,0,80,0,100,728,Air,NoEnemy,Enemy,NoCoin,move_jump,-1,57
0,0,2,2,2,-24,0,670,141,Ground,NoEnemy,NoEnemy,Coin,move,9,73
0,0,2,2,2,-24,0,670,141,Ground,NoEnemy,NoEnemy,Coin,move,9,73
0,0,2,2,2,-24,0,761,141,Ground,NoEnemy,NoEnemy,Coin,move,9,73
0,0,2,-24,-24,-60,-60,632,223,Air,NoEnemy,NoEnemy,NoCoin,move_jump,41,73
0,0,0,80,0,-60,-60,100,1414,Air,Enemy,NoEnemy,NoCoin,move_jump,73,41
0,0,0,0,0,80,0,100,1414,Air,NoEnemy,Enemy,NoCoin,move_jump,31,41
0,0,0,0,0,0,0,200,1414,Air,NoEnemy,NoEnemy,NoCoin,move_jump,31,41
0,0,0,0,0,0,0,583,1414,Air,NoEnemy,NoEnemy,NoCoin,move_jump,31,41
0,0,0,0,0,80,0,100,608,Air,NoEnemy,Enemy,NoCoin,move_jump,31,115
0,0,2,2,0,-24,0,223,141,Ground,NoEnemy,NoEnemy,Coin,move,73,89
0,0,2,2,0,-24,0,223,141,Ground,NoEnemy,NoEnemy,Coin,move,73,89
0,0,2,2,0,-24,0,223,141,Ground,NoEnemy,NoEnemy,Coin,move,73,89
