"";"x"
"137";"cieloDespejado"
"138";"cieloDespejado"
"139";"cieloDespejado"
"140";"cieloDespejado"
"141";"cieloDespejado"
"142";"cieloDespejado"
"143";"cieloDespejado"
"144";"cieloDespejado"
"145";"nube"
"146";"cieloDespejado"
"147";"cieloDespejado"
"148";"multinube"
"149";"cieloDespejado"
"150";"cieloDespejado"
"151";"cieloDespejado"
"152";"cieloDespejado"
"153";"cieloDespejado"
"154";"cieloDespejado"
"155";"multinube"
"156";"cieloDespejado"
"157";"cieloDespejado"
"158";"cieloDespejado"
"159";"cieloDespejado"
"160";"cieloDespejado"
"161";"cieloDespejado"
"162";"cieloDespejado"
"163";"cieloDespejado"
"164";"cieloDespejado"
"165";"nube"
"166";"cieloDespejado"
"167";"cieloDespejado"
"168";"cieloDespejado"
"169";"cieloDespejado"
"170";"cieloDespejado"
"171";"cieloDespejado"
"172";"multinube"
"173";"cieloDespejado"
"174";"cieloDespejado"
"175";"cieloDespejado"
"176";"cieloDespejado"
"177";"cieloDespejado"
"178";"multinube"
"179";"cieloDespejado"
"180";"cieloDespejado"
"181";"cieloDespejado"
"182";"cieloDespejado"
"183";"cieloDespejado"
"184";"cieloDespejado"
"185";"nube"
"186";"cieloDespejado"
"187";"multinube"
"188";"cieloDespejado"
"189";"cieloDespejado"
"190";"cieloDespejado"
"191";"cieloDespejado"
"192";"cieloDespejado"
"193";"cieloDespejado"
"194";"cieloDespejado"
"195";"cieloDespejado"
"196";"cieloDespejado"
"197";"cieloDespejado"
"198";"cieloDespejado"
"199";"cieloDespejado"
"200";"multinube"
"201";"cieloDespejado"
"202";"nube"
"203";"cieloDespejado"
"204";"cieloDespejado"
"205";"cieloDespejado"
"206";"cieloDespejado"
"207";"cieloDespejado"
"208";"cieloDespejado"
"209";"cieloDespejado"
"210";"cieloDespejado"
"211";"cieloDespejado"
"212";"cieloDespejado"
"213";"cieloDespejado"
"214";"multinube"
"215";"cieloDespejado"
"216";"cieloDespejado"
"217";"cieloDespejado"
"218";"nube"
"219";"cieloDespejado"
"220";"multinube"
"221";"cieloDespejado"
"222";"cieloDespejado"
"223";"cieloDespejado"
"224";"cieloDespejado"
"225";"cieloDespejado"
"226";"cieloDespejado"
"227";"cieloDespejado"
"228";"cieloDespejado"
"229";"cieloDespejado"
"230";"cieloDespejado"
"231";"cieloDespejado"
"232";"multinube"
"233";"cieloDespejado"
"234";"cieloDespejado"
"235";"cieloDespejado"
"236";"nube"
"237";"nube"
"238";"cieloDespejado"
"239";"cieloDespejado"
"240";"cieloDespejado"
"241";"cieloDespejado"
"242";"cieloDespejado"
"243";"cieloDespejado"
"244";"multinube"
"245";"cieloDespejado"
"246";"cieloDespejado"
"247";"nube"
"248";"cieloDespejado"
"249";"cieloDespejado"
"250";"cieloDespejado"
"251";"cieloDespejado"
"252";"multinube"
"253";"cieloDespejado"
"254";"cieloDespejado"
"255";"cieloDespejado"
"256";"cieloDespejado"
"257";"cieloDespejado"
"258";"cieloDespejado"
"259";"cieloDespejado"
"260";"cieloDespejado"
"261";"multinube"
"262";"cieloDespejado"
"263";"cieloDespejado"
"264";"cieloDespejado"
"265";"cieloDespejado"
"266";"cieloDespejado"
"267";"cieloDespejado"
"268";"multinube"
"269";"nube"
"270";"multinube"
"271";"multinube"
"272";"cieloDespejado"
"273";"cieloDespejado"
"274";"cieloDespejado"
"275";"cieloDespejado"
"276";"nube"
"277";"cieloDespejado"
"278";"cieloDespejado"
"279";"cieloDespejado"
"280";"cieloDespejado"
"281";"cieloDespejado"
"282";"cieloDespejado"
"283";"multinube"
"284";"cieloDespejado"
"285";"multinube"
"286";"cieloDespejado"
"287";"cieloDespejado"
"288";"cieloDespejado"
"289";"cieloDespejado"
"290";"cieloDespejado"
"291";"cieloDespejado"
"292";"cieloDespejado"
"293";"cieloDespejado"
"294";"cieloDespejado"
"295";"cieloDespejado"
"296";"cieloDespejado"
"297";"cieloDespejado"
"298";"cieloDespejado"
"299";"cieloDespejado"
"300";"multinube"
"301";"cieloDespejado"
"302";"nube"
"303";"cieloDespejado"
"304";"cieloDespejado"
"305";"cieloDespejado"
"306";"nube"
"307";"cieloDespejado"
"308";"nube"
"309";"cieloDespejado"
"310";"nube"
"311";"cieloDespejado"
"312";"cieloDespejado"
"313";"cieloDespejado"
"314";"nube"
"315";"cieloDespejado"
"316";"cieloDespejado"
"317";"cieloDespejado"
"318";"cieloDespejado"
"319";"cieloDespejado"
"320";"cieloDespejado"
"321";"cieloDespejado"
"322";"cieloDespejado"
"323";"cieloDespejado"
"324";"cieloDespejado"
"325";"cieloDespejado"
"326";"cieloDespejado"
"327";"cieloDespejado"
"328";"cieloDespejado"
"329";"cieloDespejado"
"330";"cieloDespejado"
"331";"cieloDespejado"
"332";"nube"
"333";"cieloDespejado"
"334";"cieloDespejado"
"335";"cieloDespejado"
"336";"cieloDespejado"
"337";"cieloDespejado"
"338";"cieloDespejado"
"339";"cieloDespejado"
"340";"nube"
"341";"cieloDespejado"
"342";"nube"
"343";"cieloDespejado"
"344";"cieloDespejado"
"345";"cieloDespejado"
"346";"cieloDespejado"
"347";"cieloDespejado"
"348";"cieloDespejado"
"349";"cieloDespejado"
"350";"nube"
"351";"cieloDespejado"
"352";"cieloDespejado"
"353";"cieloDespejado"
"354";"cieloDespejado"
"355";"cieloDespejado"
"356";"cieloDespejado"
"357";"cieloDespejado"
"358";"cieloDespejado"
"359";"cieloDespejado"
"360";"multinube"
"361";"multinube"
"362";"cieloDespejado"
"363";"cieloDespejado"
"364";"cieloDespejado"
"365";"cieloDespejado"
"366";"cieloDespejado"
"367";"cieloDespejado"
"368";"cieloDespejado"
"369";"cieloDespejado"
"370";"multinube"
"371";"cieloDespejado"
"372";"cieloDespejado"
"373";"cieloDespejado"
"374";"cieloDespejado"
"375";"cieloDespejado"
"376";"cieloDespejado"
"377";"nube"
"378";"cieloDespejado"
"379";"cieloDespejado"
"380";"cieloDespejado"
"381";"cieloDespejado"
"382";"multinube"
"383";"cieloDespejado"
"384";"cieloDespejado"
"385";"cieloDespejado"
"386";"multinube"
"387";"cieloDespejado"
"388";"multinube"
"389";"cieloDespejado"
"390";"multinube"
"391";"cieloDespejado"
"392";"cieloDespejado"
"393";"cieloDespejado"
"394";"cieloDespejado"
"395";"multinube"
"396";"cieloDespejado"
"397";"nube"
"398";"cieloDespejado"
"399";"cieloDespejado"
"400";"multinube"
"401";"multinube"
"402";"cieloDespejado"
"403";"multinube"
"404";"cieloDespejado"
"405";"cieloDespejado"
"406";"cieloDespejado"
"407";"cieloDespejado"
"408";"multinube"
"409";"cieloDespejado"
"410";"cieloDespejado"
"411";"cieloDespejado"
"412";"cieloDespejado"
"413";"cieloDespejado"
"414";"cieloDespejado"
"415";"cieloDespejado"
"416";"cieloDespejado"
"417";"cieloDespejado"
"418";"cieloDespejado"
"419";"cieloDespejado"
"420";"cieloDespejado"
"421";"cieloDespejado"
"422";"cieloDespejado"
"423";"cieloDespejado"
"424";"cieloDespejado"
"425";"cieloDespejado"
"426";"cieloDespejado"
"427";"cieloDespejado"
"428";"cieloDespejado"
"429";"cieloDespejado"
"430";"cieloDespejado"
"431";"cieloDespejado"
"432";"multinube"
"433";"cieloDespejado"
"434";"cieloDespejado"
"435";"cieloDespejado"
"436";"cieloDespejado"
"437";"cieloDespejado"
"438";"cieloDespejado"
"439";"cieloDespejado"
"440";"cieloDespejado"
"441";"cieloDespejado"
"442";"cieloDespejado"
"443";"cieloDespejado"
"444";"cieloDespejado"
"445";"cieloDespejado"
"446";"cieloDespejado"
"447";"cieloDespejado"
"448";"cieloDespejado"
"449";"multinube"
"450";"cieloDespejado"
"451";"nube"
"452";"cieloDespejado"
"453";"cieloDespejado"
"454";"cieloDespejado"
"455";"cieloDespejado"
"456";"cieloDespejado"
"457";"cieloDespejado"
"458";"cieloDespejado"
"459";"cieloDespejado"
"460";"cieloDespejado"
"461";"cieloDespejado"
"462";"cieloDespejado"
"463";"cieloDespejado"
"464";"multinube"
"465";"cieloDespejado"
"466";"multinube"
"467";"cieloDespejado"
"468";"cieloDespejado"
"469";"cieloDespejado"
"470";"cieloDespejado"
"471";"multinube"
"472";"cieloDespejado"
"473";"cieloDespejado"
"474";"cieloDespejado"
"475";"cieloDespejado"
"476";"cieloDespejado"
"477";"cieloDespejado"
"478";"cieloDespejado"
