"";"x"
"211";"cieloDespejado"
"212";"cieloDespejado"
"213";"multinube"
"214";"cieloDespejado"
"215";"multinube"
"216";"cieloDespejado"
"217";"multinube"
"218";"multinube"
"219";"cieloDespejado"
"220";"nube"
"221";"cieloDespejado"
"222";"cieloDespejado"
"223";"cieloDespejado"
"224";"cieloDespejado"
"225";"multinube"
"226";"multinube"
"227";"cieloDespejado"
"228";"nube"
"229";"multinube"
"230";"cieloDespejado"
"231";"cieloDespejado"
"232";"cieloDespejado"
"233";"cieloDespejado"
"234";"cieloDespejado"
"235";"cieloDespejado"
"236";"cieloDespejado"
"237";"multinube"
"238";"cieloDespejado"
"239";"multinube"
