"";"x"
"212";"cieloDespejado"
"213";"cieloDespejado"
"214";"cieloDespejado"
"215";"multinube"
"216";"cieloDespejado"
"217";"cieloDespejado"
"218";"nube"
"219";"cieloDespejado"
"220";"multinube"
"221";"cieloDespejado"
"222";"cieloDespejado"
"223";"cieloDespejado"
"224";"cieloDespejado"
"225";"cieloDespejado"
"226";"cieloDespejado"
"227";"cieloDespejado"
"228";"cieloDespejado"
"229";"multinube"
"230";"cieloDespejado"
"231";"cieloDespejado"
"232";"multinube"
"233";"cieloDespejado"
"234";"multinube"
"235";"cieloDespejado"
"236";"nube"
"237";"nube"
"238";"cieloDespejado"
"239";"cieloDespejado"
"240";"cieloDespejado"
"241";"cieloDespejado"
"242";"cieloDespejado"
"243";"cieloDespejado"
"244";"cieloDespejado"
"245";"multinube"
"246";"cieloDespejado"
"247";"nube"
"248";"cieloDespejado"
"249";"cieloDespejado"
"250";"cieloDespejado"
"251";"cieloDespejado"
"252";"cieloDespejado"
"253";"cieloDespejado"
"254";"cieloDespejado"
"255";"cieloDespejado"
"256";"cieloDespejado"
"257";"cieloDespejado"
"258";"cieloDespejado"
"259";"cieloDespejado"
"260";"cieloDespejado"
"261";"multinube"
"262";"cieloDespejado"
"263";"cieloDespejado"
"264";"cieloDespejado"
"265";"cieloDespejado"
"266";"cieloDespejado"
"267";"cieloDespejado"
"268";"cieloDespejado"
"269";"cieloDespejado"
"270";"cieloDespejado"
"271";"cieloDespejado"
"272";"cieloDespejado"
"273";"cieloDespejado"
"274";"cieloDespejado"
"275";"cieloDespejado"
"276";"nube"
"277";"cieloDespejado"
"278";"cieloDespejado"
"279";"cieloDespejado"
"280";"cieloDespejado"
"281";"cieloDespejado"
"282";"cieloDespejado"
"283";"multinube"
"284";"cieloDespejado"
"285";"multinube"
"286";"cieloDespejado"
"287";"cieloDespejado"
"288";"cieloDespejado"
"289";"cieloDespejado"
"290";"cieloDespejado"
"291";"cieloDespejado"
"292";"cieloDespejado"
"293";"cieloDespejado"
"294";"multinube"
"295";"cieloDespejado"
"296";"cieloDespejado"
"297";"cieloDespejado"
"298";"cieloDespejado"
"299";"cieloDespejado"
"300";"multinube"
"301";"cieloDespejado"
"302";"nube"
"303";"multinube"
"304";"multinube"
"305";"cieloDespejado"
"306";"cieloDespejado"
"307";"cieloDespejado"
"308";"nube"
"309";"cieloDespejado"
"310";"nube"
"311";"cieloDespejado"
"312";"cieloDespejado"
"313";"cieloDespejado"
"314";"nube"
"315";"cieloDespejado"
"316";"cieloDespejado"
"317";"cieloDespejado"
"318";"cieloDespejado"
"319";"cieloDespejado"
"320";"multinube"
"321";"cieloDespejado"
"322";"cieloDespejado"
"323";"cieloDespejado"
"324";"cieloDespejado"
"325";"cieloDespejado"
"326";"multinube"
"327";"cieloDespejado"
"328";"cieloDespejado"
"329";"cieloDespejado"
"330";"cieloDespejado"
"331";"multinube"
"332";"nube"
"333";"cieloDespejado"
"334";"cieloDespejado"
"335";"cieloDespejado"
"336";"cieloDespejado"
"337";"cieloDespejado"
"338";"cieloDespejado"
"339";"cieloDespejado"
"340";"nube"
"341";"cieloDespejado"
"342";"nube"
"343";"cieloDespejado"
"344";"cieloDespejado"
"345";"cieloDespejado"
"346";"multinube"
"347";"nube"
"348";"cieloDespejado"
"349";"cieloDespejado"
"350";"cieloDespejado"
"351";"multinube"
"352";"cieloDespejado"
"353";"cieloDespejado"
"354";"nube"
"355";"cieloDespejado"
"356";"cieloDespejado"
"357";"cieloDespejado"
"358";"cieloDespejado"
"359";"cieloDespejado"
"360";"multinube"
"361";"multinube"
"362";"cieloDespejado"
"363";"cieloDespejado"
"364";"cieloDespejado"
"365";"cieloDespejado"
"366";"cieloDespejado"
"367";"multinube"
"368";"cieloDespejado"
"369";"cieloDespejado"
"370";"cieloDespejado"
"371";"cieloDespejado"
"372";"cieloDespejado"
"373";"cieloDespejado"
"374";"cieloDespejado"
"375";"cieloDespejado"
"376";"cieloDespejado"
"377";"nube"
"378";"cieloDespejado"
"379";"cieloDespejado"
"380";"cieloDespejado"
"381";"cieloDespejado"
"382";"cieloDespejado"
"383";"cieloDespejado"
"384";"cieloDespejado"
"385";"cieloDespejado"
"386";"cieloDespejado"
"387";"multinube"
"388";"cieloDespejado"
"389";"cieloDespejado"
"390";"cieloDespejado"
"391";"cieloDespejado"
"392";"cieloDespejado"
"393";"cieloDespejado"
"394";"cieloDespejado"
"395";"multinube"
"396";"multinube"
"397";"nube"
"398";"cieloDespejado"
"399";"cieloDespejado"
"400";"multinube"
"401";"multinube"
"402";"cieloDespejado"
"403";"cieloDespejado"
"404";"cieloDespejado"
"405";"cieloDespejado"
"406";"cieloDespejado"
"407";"cieloDespejado"
"408";"multinube"
"409";"cieloDespejado"
"410";"cieloDespejado"
"411";"cieloDespejado"
"412";"cieloDespejado"
"413";"cieloDespejado"
"414";"cieloDespejado"
"415";"cieloDespejado"
"416";"cieloDespejado"
"417";"cieloDespejado"
"418";"cieloDespejado"
"419";"cieloDespejado"
"420";"cieloDespejado"
"421";"cieloDespejado"
"422";"multinube"
"423";"multinube"
"424";"cieloDespejado"
"425";"cieloDespejado"
"426";"cieloDespejado"
"427";"cieloDespejado"
"428";"cieloDespejado"
"429";"cieloDespejado"
"430";"cieloDespejado"
"431";"cieloDespejado"
"432";"multinube"
"433";"cieloDespejado"
"434";"cieloDespejado"
"435";"cieloDespejado"
"436";"cieloDespejado"
"437";"multinube"
"438";"cieloDespejado"
"439";"cieloDespejado"
"440";"cieloDespejado"
"441";"cieloDespejado"
"442";"cieloDespejado"
"443";"cieloDespejado"
"444";"cieloDespejado"
"445";"cieloDespejado"
"446";"cieloDespejado"
"447";"cieloDespejado"
"448";"cieloDespejado"
"449";"cieloDespejado"
"450";"cieloDespejado"
"451";"nube"
"452";"cieloDespejado"
"453";"cieloDespejado"
"454";"cieloDespejado"
"455";"multinube"
"456";"cieloDespejado"
"457";"cieloDespejado"
"458";"cieloDespejado"
"459";"cieloDespejado"
"460";"cieloDespejado"
"461";"cieloDespejado"
"462";"multinube"
"463";"cieloDespejado"
"464";"multinube"
"465";"cieloDespejado"
"466";"cieloDespejado"
"467";"cieloDespejado"
"468";"cieloDespejado"
"469";"cieloDespejado"
"470";"cieloDespejado"
"471";"multinube"
"472";"cieloDespejado"
"473";"cieloDespejado"
"474";"nube"
"475";"cieloDespejado"
"476";"multinube"
"477";"cieloDespejado"
"478";"cieloDespejado"
